epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,17020.6,1.54653,1.201,0.97249,0.37156,0.29273,0.27956,0.1569,1.45234,1.11442,0.94662,0.0077725,0.0077725,0.0077725
92,17208.7,1.54229,1.20083,0.96957,0.3748,0.29219,0.2804,0.15741,1.45344,1.113,0.9468,0.00774775,0.00774775,0.00774775
93,17397.1,1.54168,1.20032,0.97124,0.37932,0.29315,0.28038,0.15754,1.45217,1.1112,0.94661,0.007723,0.007723,0.007723
94,17586,1.54321,1.1986,0.97003,0.37966,0.29064,0.27972,0.15736,1.45219,1.11374,0.94738,0.00769825,0.00769825,0.00769825
95,17773.8,1.53131,1.18891,0.9654,0.37818,0.29509,0.28187,0.15877,1.44663,1.10874,0.94515,0.0076735,0.0076735,0.0076735
96,17962.2,1.53736,1.19555,0.96931,0.37795,0.29405,0.28122,0.15872,1.44366,1.1068,0.94389,0.00764875,0.00764875,0.00764875
97,18151.2,1.53543,1.18793,0.9698,0.38492,0.29084,0.28157,0.1588,1.44369,1.10602,0.94389,0.007624,0.007624,0.007624
98,18339.5,1.53152,1.18295,0.96431,0.38059,0.29135,0.28232,0.15914,1.44304,1.10574,0.94352,0.00759925,0.00759925,0.00759925
99,18528.8,1.52917,1.18084,0.96438,0.38191,0.29529,0.28307,0.16038,1.44229,1.10444,0.94344,0.0075745,0.0075745,0.0075745
100,18717.3,1.53646,1.18756,0.96411,0.38125,0.29571,0.28442,0.16098,1.43911,1.10365,0.94267,0.00754975,0.00754975,0.00754975
101,18905.5,1.52443,1.17647,0.96337,0.3829,0.2962,0.28521,0.1614,1.43911,1.10068,0.94187,0.007525,0.007525,0.007525
102,19093.4,1.52269,1.17424,0.96296,0.37774,0.29996,0.28609,0.16207,1.43697,1.09929,0.94207,0.00750025,0.00750025,0.00750025
