epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,17941.8,1.43878,1.056,0.97322,0.40593,0.31035,0.30488,0.17574,1.36562,1.00661,0.94541,0.00604,0.00604,0.00604
122,18089.9,1.43602,1.05343,0.97278,0.398,0.31612,0.30474,0.17565,1.36513,1.00679,0.94516,0.006007,0.006007,0.006007
123,18239.5,1.43456,1.05231,0.97216,0.39906,0.31689,0.3051,0.17566,1.3645,1.00596,0.94468,0.005974,0.005974,0.005974
124,18388.6,1.43002,1.04846,0.96776,0.40282,0.31438,0.30547,0.17607,1.36421,1.00502,0.94471,0.005941,0.005941,0.005941
125,18537.2,1.42902,1.04747,0.97068,0.40848,0.31285,0.30731,0.17667,1.36345,1.00429,0.9446,0.005908,0.005908,0.005908
126,18686.1,1.43175,1.0475,0.97079,0.41403,0.31089,0.30682,0.17645,1.36278,1.00368,0.94462,0.005875,0.005875,0.005875
127,18834.4,1.43772,1.04989,0.97147,0.40762,0.31397,0.30718,0.17638,1.36277,1.00291,0.94485,0.005842,0.005842,0.005842
128,18983.3,1.42333,1.03764,0.96839,0.4107,0.3143,0.30787,0.17681,1.36243,1.00211,0.94478,0.005809,0.005809,0.005809
129,19131.8,1.43491,1.0481,0.97235,0.41272,0.31254,0.30779,0.17699,1.3617,1.0013,0.94453,0.005776,0.005776,0.005776
130,19281,1.42215,1.03421,0.96766,0.41098,0.3165,0.30773,0.17705,1.36122,1.00067,0.94455,0.005743,0.005743,0.005743
131,19429.6,1.43339,1.04532,0.96859,0.41269,0.31399,0.30789,0.17707,1.35998,1.00018,0.94428,0.00571,0.00571,0.00571
132,19578.5,1.42953,1.03822,0.97031,0.41411,0.31207,0.30816,0.17742,1.35942,1.00022,0.94414,0.005677,0.005677,0.005677
133,19727.6,1.41987,1.03379,0.96901,0.41357,0.31451,0.30833,0.17726,1.35926,1.00014,0.94404,0.005644,0.005644,0.005644
134,19875.9,1.42874,1.0408,0.96847,0.41268,0.31389,0.30842,0.17724,1.35927,0.99965,0.94403,0.005611,0.005611,0.005611
135,20024.2,1.42173,1.03577,0.96866,0.40989,0.31373,0.30807,0.1772,1.35894,0.99886,0.94394,0.005578,0.005578,0.005578
136,20172.7,1.42073,1.03517,0.9683,0.40498,0.31717,0.30816,0.17751,1.35824,0.99784,0.94382,0.005545,0.005545,0.005545
137,20321.4,1.42183,1.033,0.96916,0.40722,0.31663,0.30844,0.1779,1.35774,0.99759,0.94372,0.005512,0.005512,0.005512
