                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.1417,                0.80447,                 1.4952,                0.70302,                0.71142,                0.72372,                0.49189,                 1.3029,                0.95629,                 1.5652,             0.00054481,             0.00054481,             0.00054481
                    128,                 1.1181,                 0.8142,                 1.4887,                0.77827,                0.71507,                0.75649,                0.51245,                 1.2711,                0.94963,                 1.5898,             0.00053773,             0.00053773,             0.00053773
                    129,                 1.1171,                0.82762,                 1.4783,                0.81947,                0.69589,                0.74281,                0.49572,                 1.3246,                0.93538,                 1.6093,             0.00053066,             0.00053066,             0.00053066
                    130,                 1.0982,                0.81172,                 1.4748,                0.82191,                 0.6829,                 0.7275,                 0.4972,                 1.2168,                 0.9356,                 1.5255,             0.00052359,             0.00052359,             0.00052359
                    131,                 1.1759,                0.82338,                 1.5202,                0.75213,                0.68193,                0.73116,                0.51278,                 1.2702,                0.96563,                 1.5793,             0.00051651,             0.00051651,             0.00051651
                    132,                 1.0801,                0.80638,                  1.442,                0.94123,                0.74341,                0.77322,                0.53166,                 1.2825,                 0.9132,                 1.5442,             0.00050944,             0.00050944,             0.00050944
                    133,                 1.0947,                0.80127,                 1.4632,                0.83508,                0.77587,                0.78551,                 0.5165,                 1.2839,                0.90571,                 1.5702,             0.00050236,             0.00050236,             0.00050236
                    134,                 1.0909,                0.79867,                 1.4601,                0.65786,                 0.7289,                0.70599,                0.50919,                 1.2538,                 0.9091,                 1.5532,             0.00049529,             0.00049529,             0.00049529
                    135,                 1.0968,                0.80388,                 1.4626,                0.80402,                 0.6986,                0.72795,                0.51091,                 1.2859,                0.95226,                 1.5843,             0.00048822,             0.00048822,             0.00048822
                    136,                 1.0905,                0.78794,                 1.4311,                0.80874,                 0.7403,                0.73976,                0.51765,                 1.2637,                0.92285,                 1.5387,             0.00048114,             0.00048114,             0.00048114
                    137,                 1.0358,                 0.7777,                 1.4174,                0.77547,                0.75839,                0.74208,                0.52669,                 1.2214,                0.91753,                 1.5478,             0.00047407,             0.00047407,             0.00047407
                    138,                 1.0423,                0.75201,                 1.4161,                0.74224,                0.73963,                0.73815,                0.52006,                 1.2637,                0.94658,                 1.5491,               0.000467,               0.000467,               0.000467
                    139,                   1.06,                0.77552,                 1.4111,                 0.8039,                0.74016,                0.76079,                 0.5206,                 1.2317,                0.92438,                 1.5406,             0.00045992,             0.00045992,             0.00045992
                    140,                 1.0514,                0.75661,                 1.3989,                0.75545,                0.75455,                0.74034,                0.50318,                 1.2449,                0.95271,                 1.5756,             0.00045285,             0.00045285,             0.00045285
                    141,                 1.0922,                0.74651,                 1.4501,                0.95297,                0.66657,                0.72987,                0.50155,                 1.2932,                0.94909,                 1.5777,             0.00044578,             0.00044578,             0.00044578
                    142,                 1.0447,                0.74105,                 1.4361,                0.96603,                 0.6683,                0.73595,                0.53188,                 1.2314,                0.89434,                 1.5589,              0.0004387,              0.0004387,              0.0004387
                    143,                 1.0734,                0.75323,                 1.4645,                0.86214,                0.69355,                0.74885,                0.53299,                 1.2336,                0.88107,                 1.5259,             0.00043163,             0.00043163,             0.00043163
                    144,                 1.0668,                0.73647,                 1.4146,                0.88535,                0.73526,                0.76723,                0.51255,                 1.3255,                0.89692,                 1.5902,             0.00042456,             0.00042456,             0.00042456
                    145,                 1.0659,                0.76115,                 1.4369,                0.85475,                0.68766,                0.72194,                 0.5037,                  1.251,                0.88782,                 1.5475,             0.00041748,             0.00041748,             0.00041748
                    146,                 1.0487,                0.74616,                 1.4041,                0.85861,                0.66547,                0.73164,                0.48943,                 1.3042,                0.93975,                 1.5574,             0.00041041,             0.00041041,             0.00041041
