                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  1.666,                 1.6023,                 2.0633,                0.88685,                0.58561,                0.60669,                0.34017,                 1.8792,                 1.5582,                 2.0845,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.6327,                 1.5311,                 1.9885,                0.85922,                0.50513,                0.59533,                 0.3629,                 1.7124,                 1.5266,                 2.0688,               0.001047,               0.001047,               0.001047
                     57,                 1.6181,                 1.4779,                 1.9433,                0.82999,                0.59568,                0.60791,                0.36862,                 1.7448,                 1.4528,                 2.0074,                0.00104,                0.00104,                0.00104
                     58,                 1.6229,                 1.4114,                 1.9657,                0.94355,                0.58865,                0.62724,                0.39164,                 1.6506,                 1.4019,                 2.0004,              0.0010329,              0.0010329,              0.0010329
                     59,                  1.592,                 1.4125,                 1.9394,                0.87028,                0.59487,                0.65191,                0.42632,                 1.6038,                 1.4094,                 1.9903,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.5617,                 1.3656,                 1.9245,                0.71518,                  0.638,                0.65409,                0.38008,                 1.7253,                 1.4955,                 2.0032,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.5941,                 1.3452,                  1.909,                0.99062,                0.56664,                0.66314,                0.43396,                 1.5988,                 1.2928,                  1.906,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.5541,                 1.3654,                 1.9182,                0.94782,                0.57332,                0.66899,                0.41023,                 1.5782,                 1.3768,                 1.9123,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.5173,                 1.3923,                 1.9103,                 0.9511,                0.62269,                0.67229,                0.41269,                 1.6484,                 1.4554,                 1.9255,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.5632,                 1.4066,                 1.8504,                0.92376,                0.50649,                0.65524,                0.40147,                 1.5739,                 1.5967,                 1.8885,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.5017,                 1.3177,                 1.8707,                0.89622,                0.49404,                0.60389,                0.34607,                 1.7387,                 1.6987,                 2.0274,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.4931,                 1.3061,                 1.8249,                0.95953,                0.61761,                0.63401,                0.40551,                 1.5489,                 1.4009,                 1.8864,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.4396,                 1.3177,                 1.8391,                0.70193,                0.64744,                0.65008,                0.40988,                 1.5336,                 1.4865,                 1.8428,             0.00096922,             0.00096922,             0.00096922
                     68,                  1.455,                 1.2387,                 1.8429,                 0.6816,                0.66748,                0.68798,                0.41184,                 1.5973,                 1.3347,                 1.9505,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.5694,                 1.3092,                 1.8748,                0.96106,                 0.6008,                 0.6796,                0.40211,                 1.6547,                 1.3032,                 1.9101,             0.00095507,             0.00095507,             0.00095507
